"","Potency","MolWt","MolLogP","TPSA","RingCount","NumHeteroAtoms"
"445",6.7456,360.841,3.74592,50.8,3,6
"446",16.9441,329.363,3.4594,96.69,4,6
"447",16.9441,242.257,2.54724,43.08,3,5
"448",11.9955,225.317,2.5662,54.88,1,5
"449",4.7755,337.857,4.7819,54.88,3,7
"450",0.151,539.032,3.76472,113.77,6,10
"451",19.0115,306.347,1.4392,79.13,3,8
"452",23.9341,410.495,4.7803,74.45,4,7
"453",16.9441,266.344,3.73214,27.05,3,3
"454",16.9441,316.445,2.9714,41.57,3,4
"455",0.006,295.814,2.8304,35.58,2,5
"456",10.691,250.323,1.59282,50.69,2,5
"457",0.2393,301.415,3.3275,59.22,3,5
"458",13.4591,346.456,3.6824,83.98,2,7
"459",0.9528,310.422,4.4494,52.89,3,4
"460",4.7755,306.321,3.123,53.35,4,5
"461",11.9955,254.289,2.93302,51.19,3,4
"462",4.2562,275.695,2.2123,77.57,2,6
"463",16.9441,323.421,3.6131,53.49,4,5
"464",10.691,270.357,3.31802,34.89,3,4
"465",10.691,278.333,1.8829,66.48,2,6
"466",13.4591,328.405,1.92662,107.43,3,9
"467",15.1014,287.75,3.8038,47.04,3,5
"468",15.1014,305.403,2.13064,58.22,3,6
"469",19.0115,362.429,5.0817,71.34,3,5
"470",15.1014,293.37,4.2145,57.78,3,4
"471",19.0115,292.338,2.89624,51.96,3,4
"472",0.6012,209.248,3.80322,26.03,3,2
"473",13.4591,273.288,3.0971,68.54,2,5
"474",10.691,365.414,4.5443,70.27,4,7
"475",3.3808,277.276,2.1595,91.76,2,6
"476",6.012,259.261,3.0392,60.7,3,5
"477",1.3459,250.754,4.0614,24.92,2,4
"478",15.1014,236.658,2.88872,55.13,2,5
"479",6.012,283.356,3.9573,47.04,3,5
"480",1.3459,266.369,4.66128,36.68,3,3
"481",2.6855,280.396,4.9697,36.68,3,3
"482",11.9955,261.133,3.7653,38.92,2,6
"483",11.9955,215.252,3.14874,42.24,2,3
"484",10.691,310.309,2.1266,81.43,3,6
"485",23.9341,309.365,3.30184,46.61,3,4
"486",0.5358,398.846,5.2248,80.57,3,7
"487",16.9441,310.136,3.4281,56.26,2,6
"488",15.1014,305.293,3.7351,81.16,4,6
"489",21.3313,337.335,3.1878,93.46,3,7
"490",4.2562,255.273,2.7101,47.56,3,4
"491",0.5358,269.3,3.01852,47.56,3,4
"492",13.4591,412.425,1.8842,111.03,3,10
"493",11.9955,445.958,4.0451,62.45,6,8
"494",21.3313,278.311,2.58782,51.96,3,4
"495",10.691,269.325,3.8028,43.1,3,4
"496",13.4591,210.24,2.2071,67.59,3,4
"497",10.691,285.368,3.45042,31.23,3,4
"498",2.3934,239.278,2.8207,63.93,3,4
"499",6.7456,285.368,3.45042,31.23,3,4
"500",1.6944,278.72,3.795,55.13,3,6
"501",0.2685,297.31,3.2324,56.79,3,5
"502",9.5283,285.328,2.9522,64.11,3,6
"503",0.0107,394.504,2.318,67.15,4,8
"504",21.3313,323.396,3.42716,56.49,3,5
"505",10.691,270.317,3.3353,66.91,3,6
"506",0.4256,334.379,3.3651,78.08,4,6
"507",6.7456,297.318,2.6209,81.07,3,7
"508",26.8545,323.421,3.36052,53.49,4,5
"509",0.5358,320.352,3.05668,78.08,4,6
"510",11.9955,362.408,4.2607,51.45,4,6
"511",13.4591,411.443,3.74288,126.99,4,10
"512",13.4591,370.43,3.4194,77.52,3,7
"513",21.3313,233.292,2.7839,52.32,2,4
"514",0.0301,319.445,3.0045,46.61,5,4
"515",16.9441,203.197,2.1282,52.33,2,4
"516",9.5283,296.326,2.0149,72.63,3,5
"517",9.5283,299.33,1.94094,86.8,2,6
"518",1.3459,275.695,2.2123,77.57,2,6
"519",16.9441,405.501,3.69364,112.41,3,9
"520",16.9441,299.33,1.94094,86.8,2,6
"521",16.9441,255.277,1.4878,77.57,2,5
"522",21.3313,261.285,1.344,81.93,2,7
"523",5.3582,372.852,4.3538,50.8,4,6
"524",23.9341,320.753,3.8695,56.51,3,6
"525",23.9341,291.38,1.73132,96.95,2,7
"526",2.6855,268.341,3.36078,52.89,3,4
"527",13.4591,317.348,3.6553,81,4,5
"528",19.0115,358.492,4.0374,58.98,3,7
"529",26.8545,335.86,3.5221,36.44,3,6
"530",16.9441,282.343,2.3364,55.56,3,4
"531",23.9341,223.279,3.12052,54.7,3,3
"532",21.3313,283.331,2.17962,60.17,3,5
"533",4.7755,265.272,2.9889,68.02,3,5
"534",23.9341,300.408,4.43232,41.99,3,5
"535",16.9441,221.275,3.0186,20.31,2,3
"536",3.7933,320.373,4.8086,55.13,4,5
"537",15.1014,235.302,3.4087,20.31,2,3
"538",2.6855,253.301,4.1805,42.24,3,3
"539",15.1014,346.438,3.71184,60.04,4,6
"540",26.8545,295.346,2.94132,72.18,3,6
"541",23.9341,357.41,3.5046,49.58,4,7
"542",2.6855,315.332,4.1421,68.02,4,5
"543",2.3934,440.847,2.51,114.02,4,11
"544",8.4921,359.385,3.71332,66.24,4,6
"545",15.1014,264.284,3.15742,52.08,3,4
"546",1.1995,226.304,3.5455,38.91,3,3
"547",11.9955,313.382,3.2801,67.87,3,6
"548",15.1014,349.346,2.8719,101.39,4,7
"549",15.1014,296.33,3.3713,72.95,3,6
"550",2.1331,267.328,4.5706,42.24,3,3
"551",19.0115,367.268,3.0768,51.96,4,6
"552",15.1014,275.399,2.2612,64.11,1,7
"553",9.5283,312.394,4.19604,55.13,3,5
